frame_counter,NIS
0,6.95323e-310
1,0.0917087
2,8.23304
3,5.6818
4,52.8665
5,2.96097
6,27.604
7,1.2616
8,8.50305
9,1.3161
10,10.6575
11,2.34157
12,13.0121
13,4.69868
14,10.5581
15,4.13996
16,1.21753
17,1.94029
18,4.90833
19,4.24345
20,0.952575
21,3.82834
22,6.43471
23,0.779994
24,1.8763
25,4.15396
26,6.18663
27,2.45779
28,5.04992
29,1.61336
30,0.929891
31,1.16419
32,2.15184
33,0.0188743
34,3.53537
35,0.155044
36,4.00326
37,0.252172
38,5.18807
39,0.475669
40,5.14354
41,1.37919
42,3.69872
43,4.63662
44,5.68977
45,1.74362
46,1.88286
47,0.296206
48,1.26861
49,3.54449
50,0.259984
51,1.00814
52,2.4948
53,0.590393
54,1.10946
55,1.24055
56,0.383087
57,1.88935
58,4.54089
59,1.49403
60,3.98875
61,0.413852
62,2.52533
63,0.462621
64,5.45883
65,1.34679
66,0.221379
67,3.00613
68,0.809759
69,1.24711
70,3.44721
71,0.515954
72,2.02209
73,2.038
74,0.995056
75,2.3135
76,5.816
77,0.414782
78,0.857672
79,7.0241
80,2.57068
81,3.09535
82,1.38823
83,1.73886
84,2.98262
85,1.26922
86,4.52251
87,3.03492
88,4.88341
89,7.72514
90,1.96004
91,0.236122
92,6.16507
93,4.37392
94,2.27184
95,1.22429
96,0.704639
97,8.87998
98,0.342928
99,0.104113
100,2.38166
101,0.6901
102,1.56784
103,0.780156
104,3.71899
105,2.05649
106,3.14154
107,0.315297
108,2.49007
109,0.941465
110,4.75788
111,0.730932
112,1.64234
113,0.199482
114,3.57471
115,0.450074
116,7.54369
117,4.10235
118,5.38388
119,0.057114
120,5.45621
121,1.58909
122,2.38042
123,0.149237
124,0.798049
125,4.43099
126,0.76237
127,0.118033
128,0.712072
129,1.42016
130,0.748384
131,0.815184
132,1.16553
133,1.1672
134,6.37143
135,1.90719
136,2.52374
137,0.642712
138,0.514987
139,0.744673
140,0.25293
141,0.155938
142,2.32854
143,1.05174
144,1.13737
145,0.877241
146,1.79068
147,2.82344
148,0.245241
149,2.32257
150,1.35204
151,2.11179
152,1.01834
153,0.21274
154,1.89408
155,0.0565654
156,0.211028
157,2.6525
158,0.283548
159,0.670616
160,4.52107
161,1.00526
162,3.00608
163,1.65793
164,2.07495
165,1.1234
166,0.515579
167,3.43739
168,5.31218
169,3.0996
170,6.4123
171,0.978137
172,2.53125
173,2.16228
174,7.95199
175,2.77517
176,6.04172
177,14.2225
178,4.12646
179,1.89018
180,1.56939
181,2.47518
182,1.63153
183,1.79228
184,8.48397
185,0.131791
186,0.735295
187,2.56639
188,1.02253
189,0.554015
190,2.51031
191,0.758413
192,0.533799
193,0.43168
194,3.03948
195,2.93914
196,0.285588
197,0.896247
198,0.608007
199,1.33339
200,5.3114
201,1.71868
202,13.0855
203,0.385492
204,0.312982
205,0.677252
206,1.86936
207,0.270642
208,0.219737
209,6.09805
210,3.30875
211,2.35643
212,5.78145
213,0.81035
214,1.49523
215,3.19243
216,0.766856
217,6.55082
218,2.44011
219,0.849413
220,1.3775
221,0.343169
222,4.08478
223,4.19338
224,6.92312
225,7.34501
226,2.86114
227,2.28726
228,1.46383
229,3.40416
230,1.6899
231,3.24036
232,6.1493
233,2.63607
234,0.455711
235,1.38709
236,1.87158
237,0.112124
238,3.49237
239,1.02306
240,11.0991
241,2.33176
242,2.95194
243,2.30801
244,5.43672
245,2.18726
246,4.90587
247,0.383056
248,4.30056
249,0.831323
250,7.83891
251,2.19515
252,0.752097
253,0.219705
254,4.4378
255,0.175745
256,0.462667
257,0.261574
258,0.589305
259,0.955448
260,4.94879
261,6.60783
262,3.58759
263,3.1497
264,4.67863
265,1.98473
266,1.74438
267,7.37289
268,9.82062
269,0.550801
270,4.05164
271,0.11321
272,2.17083
273,0.51147
274,4.64357
275,6.82969
276,4.72037
277,2.07413
278,2.16532
279,2.25327
280,5.77343
281,3.19306
282,12.71
283,4.7168
284,11.9625
285,1.35612
286,1.39272
287,2.05742
288,5.01659
289,2.84205
290,3.24738
291,2.53923
292,3.56693
293,0.364337
294,5.92731
295,0.885838
296,1.42784
297,1.15086
298,5.64013
299,0.582072
300,2.4148
301,1.04457
302,0.747795
303,0.340818
304,2.5152
305,1.42696
306,3.36339
307,3.36135
308,0.851375
309,0.556439
310,4.20461
311,0.45874
312,7.95574
313,1.20393
314,2.48335
315,1.45477
316,0.158294
317,2.9831
318,1.9286
319,8.25697
320,1.16051
321,0.906255
322,2.40774
323,0.87612
324,5.07182
325,0.257484
326,1.07926
327,1.19349
328,2.21362
329,6.30702
330,8.02991
331,3.25571
332,6.74051
333,1.01266
334,4.9342
335,1.92901
336,2.52386
337,10.045
338,0.899496
339,2.28016
340,3.47586
341,3.30564
342,1.34137
343,2.62744
344,0.573314
345,3.26211
346,6.45581
347,7.97262
348,6.56528
349,4.2395
350,3.55477
351,1.57858
352,4.1236
353,0.075665
354,2.65533
355,1.36119
356,0.689801
357,1.96699
358,2.67643
359,0.148315
360,0.509901
361,0.90006
362,2.89144
363,9.47713
364,0.135526
365,0.456077
366,5.74111
367,3.19234
368,1.81207
369,1.55326
370,4.69083
371,3.07441
372,4.59206
373,0.724186
374,2.55576
375,1.69381
376,0.37112
377,2.30002
378,1.96677
379,1.06528
380,0.783056
381,0.467089
382,3.77104
383,0.852127
384,4.31482
385,0.34919
386,2.66267
387,2.38253
388,5.65028
389,0.280569
390,0.721171
391,2.92612
392,3.13069
393,0.944343
394,2.3661
395,0.422006
396,2.31807
397,2.27095
398,0.413801
399,5.05427
400,3.37275
401,1.81087
402,1.16
403,4.02908
404,2.8258
405,2.54712
406,0.809104
407,0.885805
408,2.82692
409,3.39235
410,6.68559
411,0.124264
412,3.42977
413,0.0685406
414,12.0146
415,1.36728
416,2.58391
417,4.31576
418,1.00256
419,0.220548
420,0.742169
421,0.221373
422,3.60486
423,1.02796
424,1.7768
425,6.77392
426,4.62337
427,1.78411
428,4.03647
429,1.04099
430,6.96467
431,2.31916
432,0.909686
433,2.77095
434,4.82468
435,0.309306
436,3.91261
437,0.114349
438,7.04175
439,1.67415
440,2.25598
441,1.61453
442,1.52769
443,0.910957
444,0.956461
445,1.29239
446,2.31386
447,0.183787
448,5.12603
449,2.46779
450,2.04951
451,0.0911272
452,2.70202
453,11.0678
454,2.20077
455,1.87761
456,5.71849
457,2.27963
458,4.65575
459,1.37667
460,4.78288
461,4.02327
462,1.3731
463,0.118614
464,1.34908
465,6.72529
466,6.20965
467,1.71968
468,3.06997
469,0.24022
470,2.22915
471,1.97086
472,4.17498
473,1.6472
474,1.98218
475,0.755262
476,2.26792
477,1.30876
478,2.24805
479,2.70174
480,7.72833
481,2.50787
482,0.818216
483,5.10419
484,10.0266
485,0.760147
486,2.07077
487,0.0535089
488,2.9318
489,0.128152
490,3.2356
491,6.50745
492,4.39428
493,2.41648
494,7.53725
495,3.98969
496,0.91101
497,2.85726
