frame_counter,NIS
0,6.95323e-310
1,74.6446
2,0.220944
3,1.82505
4,0.167282
5,7.66353
6,0.25333
7,6.23205
8,0.00784118
9,0.405276
10,1.19387
11,1.2848
12,2.10033
13,4.13699
14,0.368852
15,2.05914
16,12.859
17,1.85256
18,2.46105
19,1.74785
20,1.58175
21,3.67285
22,3.99
23,0.632284
24,0.272513
25,2.96543
26,3.24304
27,4.35922
28,0.486671
29,2.37582
30,0.464059
31,7.11467
32,0.944038
33,6.74805
34,0.721921
35,4.67176
36,3.71175
37,5.07692
38,1.558
39,4.34832
40,1.01288
41,1.70295
42,1.73707
43,0.839596
44,0.421845
45,1.5595
46,0.375293
47,0.875286
48,3.97624
49,3.68517
50,3.51445
51,12.1127
52,1.35178
53,0.438353
54,1.99672
55,1.09312
56,1.78562
57,4.42781
58,3.25282
59,3.50121
60,2.74135
61,0.598048
62,0.622611
63,2.3283
64,2.3946
65,0.493905
66,1.60562
67,6.17152
68,3.72576
69,1.55398
70,1.47416
71,3.01568
72,0.086516
73,1.96311
74,1.18215
75,1.18532
76,3.10628
77,0.863973
78,0.710578
79,0.367304
80,2.0676
81,4.78095
82,3.29193
83,0.122804
84,2.46393
85,2.30247
86,3.2267
87,0.606628
88,3.00218
89,1.27617
90,2.7401
91,3.19683
92,0.906067
93,7.49455
94,1.67678
95,3.95178
96,2.43661
97,5.37099
98,0.245033
99,14.0072
100,3.52452
101,2.89087
102,2.20079
103,5.48764
104,1.0514
105,2.34019
106,1.47453
107,1.61474
108,1.21752
109,1.6825
110,0.783865
111,1.99279
112,2.75892
113,3.07346
114,1.09027
115,11.1018
116,1.87583
117,1.49497
118,0.189895
119,1.40791
120,0.865448
121,0.510439
122,0.334332
123,8.5189
124,2.37531
125,4.20716
126,5.19045
127,2.15853
128,0.553405
129,1.99598
130,0.800253
131,6.45145
132,0.651026
133,1.66944
134,0.243112
135,3.18935
136,2.81244
137,3.17427
138,0.945111
139,9.96373
140,0.732432
141,3.81136
142,1.49364
143,6.30196
144,2.17145
145,1.80356
146,0.86815
147,0.931485
148,0.562407
149,0.182577
150,1.57082
151,2.36207
152,0.158981
153,1.76616
154,2.01048
155,2.6052
156,0.134771
157,1.08986
158,2.04405
159,1.25332
160,0.758237
161,4.43435
162,0.836931
163,4.83489
164,3.04968
165,0.991677
166,1.7336
167,2.62134
168,0.976368
169,1.50816
170,2.48959
171,4.27533
172,2.79596
173,0.0332686
174,0.18123
175,3.33872
176,3.9614
177,0.341798
178,1.0995
179,0.825811
180,0.791704
181,3.15472
182,1.62512
183,1.4201
184,1.20552
185,1.48621
186,2.45071
187,5.04596
188,0.361448
189,1.53343
190,1.27708
191,1.48266
192,1.63173
193,7.3137
194,3.36349
195,3.45608
196,1.83796
197,2.362
198,6.93018
199,2.75598
200,0.22423
201,2.21543
202,0.817677
203,5.21275
204,2.10792
205,1.42412
206,3.08319
207,1.40428
208,1.25338
209,1.43715
210,3.77162
211,3.23868
212,0.0333993
213,1.13102
214,1.87461
215,2.77144
216,2.61957
217,1.07577
218,1.87462
219,1.26529
220,2.9257
221,3.53371
222,0.602796
223,4.26321
224,0.612769
225,3.42727
226,6.3913
227,3.71536
228,5.40694
229,0.715463
230,2.51606
231,1.18043
232,3.05174
233,1.00123
234,1.17746
235,3.4743
236,4.27912
237,2.55598
238,1.21818
239,4.87174
240,0.251687
241,5.58627
242,2.55184
243,10.1262
244,1.90758
245,1.2064
246,1.63717
247,4.61623
248,0.0363487
249,5.78597
250,2.37245
251,5.03113
252,1.79937
253,0.314383
254,4.04511
255,5.20188
256,5.10137
257,1.4163
258,0.292971
259,6.54086
260,0.285254
261,3.48371
262,1.07488
263,0.421745
264,1.11762
265,6.69369
266,1.98778
267,2.81347
268,3.54976
269,1.60111
270,2.82041
271,4.89611
272,0.944739
273,6.14101
274,1.10139
275,5.50311
276,4.77633
277,6.85686
278,0.461375
279,1.83792
280,2.57094
281,5.95453
282,0.00894676
283,4.77127
284,2.06292
285,2.6677
286,0.652024
287,0.30851
288,2.18402
289,4.36796
290,7.60702
291,0.917573
292,0.951195
293,0.477858
294,1.47558
295,2.40769
296,0.131064
297,4.5088
298,2.82671
299,0.495164
300,0.584147
301,6.38236
302,6.67624
303,1.18341
304,0.0170338
305,8.30782
306,1.79389
307,1.38832
308,4.78695
309,2.72406
310,5.22567
311,1.39459
312,2.74251
313,2.20016
314,4.01907
315,2.12719
316,2.48256
317,3.17671
318,3.3959
319,2.23369
320,6.91539
321,3.44277
322,4.37217
323,4.90831
324,1.12758
325,3.01886
326,0.38964
327,0.25352
328,5.7006
329,4.31527
330,4.80271
