frame_counter,NIS
0,6.95322e-310
1,0.283819
2,7.13401
3,4.04144
4,1.65343
5,10.8498
6,4.27044
7,2.80541
8,4.29686
9,1.95641
10,6.44443
11,0.0550731
12,3.45311
13,3.29467
14,1.95349
15,0.697416
16,0.382233
17,0.69567
18,0.203137
19,0.331955
20,1.69429
21,2.85017
22,2.46631
23,0.364434
24,2.70335
25,1.24992
26,1.0674
27,0.534071
28,0.768057
29,0.582757
30,0.226564
31,0.192722
32,1.23771
33,1.25689
34,1.37527
35,0.842722
36,1.6824
37,1.45794
38,0.0404857
39,4.27231
40,3.2058
41,3.8334
42,0.373807
43,3.01924
44,8.45008
45,0.0978958
46,4.43351
47,1.46667
48,7.08153
49,0.00472102
50,0.672029
51,0.508778
52,1.41448
53,0.156396
54,0.848917
55,0.608196
56,0.0868948
57,0.269325
58,2.03215
59,0.339834
60,1.31755
61,0.13771
62,5.50253
63,0.0619162
64,1.15662
65,0.335827
66,0.555977
67,2.25558
68,0.722182
69,0.377169
70,0.592383
71,0.584689
72,0.654455
73,1.55892
74,3.74913
75,2.09592
76,0.150844
77,0.0800138
78,2.34641
79,0.625735
80,0.760251
81,0.835163
82,0.317492
83,2.1805
84,1.86631
85,0.333148
86,1.6252
87,1.35658
88,9.91925
89,2.72618
90,3.84645
91,1.27994
92,0.152182
93,1.57335
94,0.446708
95,1.28526
96,0.460807
97,3.24685
98,0.66106
99,1.3038
100,1.84407
101,0.142575
102,1.11582
103,0.0297443
104,6.79695
105,2.90268
106,1.29543
107,3.07943
108,6.83529
109,0.660657
110,0.416051
111,3.37197
112,5.89354
113,1.96484
114,2.42336
115,2.42147
116,3.31424
117,0.961876
118,0.0306802
119,1.21725
120,1.24748
121,1.84713
122,1.44019
123,0.700565
124,0.00332451
125,5.48439
126,0.295302
127,1.2637
128,0.851004
129,1.42717
130,5.47986
131,2.46078
132,2.15065
133,8.54145
134,0.964573
135,0.222678
136,0.884155
137,7.51139
138,1.18425
139,3.91195
140,3.96867
141,6.66242
142,2.68425
143,1.545
144,5.42128
145,1.11377
146,0.758884
147,1.63098
148,0.910082
149,1.01175
150,1.92773
151,0.681455
152,1.54977
153,2.72544
154,0.978418
155,0.387241
156,0.383109
157,2.48144
158,2.42719
159,4.04775
160,1.35577
161,3.31319
162,0.51786
163,0.690032
164,5.11696
165,2.3716
166,0.721731
167,0.961054
168,9.39932
169,1.36888
170,3.10325
171,1.40215
172,4.39901
173,7.21499
174,4.68928
175,2.54092
176,0.0106491
177,0.833929
178,1.54772
179,0.0171404
180,0.692749
181,8.58243
182,0.847096
183,2.92325
184,1.28209
185,3.96052
186,0.644898
187,1.84691
188,2.0752
189,0.953026
190,0.317059
191,0.668846
192,0.734897
193,2.80922
194,0.493748
195,2.1771
196,0.858715
197,0.883409
198,2.70756
199,3.56727
200,1.43763
201,5.39015
202,2.52677
203,0.849041
204,3.81727
205,0.216735
206,0.00526663
207,1.13694
208,4.72526
209,0.214064
210,0.232838
211,0.977311
212,6.69403
213,1.75453
214,1.7198
215,3.03285
216,2.53198
217,0.478068
218,0.61915
219,3.47835
220,1.10926
221,1.79944
222,1.80221
223,0.780728
224,1.36332
225,0.759981
226,13.6981
227,2.57767
228,1.45769
229,1.39096
230,4.1378
231,0.249852
232,5.09398
233,0.781071
234,0.369818
235,1.1838
236,1.37426
237,0.39719
238,0.766352
239,1.75865
240,1.72052
241,3.33018
242,0.38818
243,0.264743
244,0.256309
245,6.79917
246,1.42272
247,4.10589
248,1.49273
