frame_counter,NIS
0,6.95323e-310
1,5.74804
2,1.4706
3,6.05924
4,18.073
5,13.3344
6,6.61392
7,2.66804
8,3.03131
9,12.9307
10,2.40098
11,15.2096
12,6.58877
13,21.3702
14,9.86851
15,29.5167
16,12.7101
17,13.5541
18,10.6864
19,6.51042
20,2.5596
21,3.15617
22,7.6639
23,3.0611
24,8.27437
25,21.3463
26,2.2371
27,2.24659
28,8.01218
29,4.57679
30,0.641838
31,1.9335
32,0.648164
33,5.96213
34,0.55339
35,1.3484
36,2.56553
37,2.9608
38,1.78925
39,1.00672
40,4.43643
41,0.0895598
42,2.83156
43,0.47525
44,1.48028
45,1.98035
46,7.6067
47,1.68723
48,3.96907
49,7.00898
50,3.69646
51,2.02981
52,4.10604
53,0.187809
54,1.19946
55,0.279718
56,1.55046
57,12.2447
58,0.883862
59,0.312332
60,0.964139
61,11.8304
62,3.13124
63,0.582057
64,1.94777
65,6.37034
66,0.935818
67,4.56337
68,4.72231
69,9.51674
70,1.69548
71,8.97587
72,1.38449
73,1.94184
74,0.493414
75,2.02316
76,1.86435
77,3.18404
78,1.06082
79,1.16588
80,3.75157
81,4.43204
82,1.50702
83,3.06612
84,2.52483
85,4.53423
86,0.0421125
87,3.19153
88,0.520684
89,0.643509
90,2.57974
91,2.65581
92,0.627283
93,4.35283
94,3.33115
95,1.26255
96,8.02194
97,2.85326
98,3.65995
99,1.07733
100,3.2977
101,5.89551
102,1.6107
103,1.25112
104,2.45825
105,2.48481
106,1.41755
107,3.96635
108,1.13579
109,1.49249
110,2.99715
111,2.96472
112,1.22709
113,3.32363
114,0.783208
115,1.12206
116,1.22897
117,2.83272
118,2.15922
119,3.76906
120,5.17695
121,8.07941
122,0.630752
123,4.83813
124,4.66912
125,4.63172
126,0.28838
127,6.14797
128,1.5379
129,5.19744
130,4.41807
131,0.928582
132,6.75961
133,2.87449
134,0.768008
135,5.75092
136,5.00653
137,4.09395
138,7.1925
139,2.91072
140,5.08199
141,3.68971
142,1.62448
143,0.239443
144,2.57623
145,1.88669
146,0.196784
147,2.15462
148,5.09735
149,0.314154
150,6.44718
151,0.999692
152,7.31119
153,1.59915
154,2.47262
155,0.855666
156,1.71396
157,1.90743
158,2.75608
159,2.6515
160,3.42631
161,5.11556
162,2.85895
163,0.298326
164,4.35202
165,2.47684
166,2.95057
167,4.18014
168,6.28794
169,3.59294
170,2.11585
171,1.01524
172,3.59668
173,2.91642
174,7.19269
175,1.67319
176,2.99678
177,1.90315
178,6.01489
179,1.49091
180,1.36448
181,4.23515
182,1.3083
183,0.668143
184,1.3361
185,4.27106
186,0.896739
187,1.62387
188,1.01798
189,6.2038
190,0.271099
191,11.0177
192,4.3701
193,2.65589
194,0.920661
195,0.741444
196,2.35899
197,2.15744
198,3.61968
199,2.20878
200,2.12618
201,1.75642
202,9.79728
203,6.82974
204,0.0722179
205,1.7779
206,2.03153
207,2.31217
208,0.464191
209,0.263963
210,9.60258
211,2.40507
212,0.639271
213,1.74888
214,5.41316
215,2.08682
216,4.36562
217,1.70203
218,4.00237
219,8.51364
220,1.66365
221,6.51901
222,3.579
223,2.25637
224,2.36656
225,3.05017
226,2.03555
227,6.71544
228,3.58283
229,0.434231
230,0.306087
231,0.772734
232,0.878706
233,6.52286
234,7.88117
235,0.542065
236,3.89708
237,0.30841
238,2.83413
239,1.39116
240,2.12276
241,6.29109
242,0.603172
243,9.10081
244,3.4643
245,1.77842
246,2.69988
247,5.86894
248,4.53271
